user_id,signup_day,channel,user_type,experiment_group,converted
126,87,paid_ads,high_value,treatment,0
127,36,organic,medium_value,treatment,0
128,43,organic,high_value,control,0
129,85,paid_ads,low_value,treatment,0
130,34,referral,medium_value,control,0
131,64,paid_ads,high_value,control,0
132,46,referral,high_value,treatment,0
133,77,organic,low_value,treatment,0
134,2,referral,high_value,treatment,0
135,0,organic,medium_value,treatment,0
136,4,referral,medium_value,treatment,1
137,89,paid_ads,medium_value,control,0
138,13,partner,medium_value,treatment,0
139,26,paid_ads,high_value,treatment,0
140,8,organic,medium_value,control,1
141,78,organic,high_value,treatment,0
142,14,referral,medium_value,control,1
143,89,paid_ads,medium_value,control,0
144,41,referral,medium_value,treatment,0
145,76,organic,high_value,control,0
146,50,organic,medium_value,treatment,0
147,62,organic,medium_value,control,0
148,51,partner,low_value,treatment,0
149,3,referral,medium_value,control,1
150,22,partner,medium_value,control,0
151,14,organic,medium_value,control,0
152,42,paid_ads,low_value,treatment,0
153,28,referral,low_value,treatment,0
154,35,organic,medium_value,treatment,1
155,12,referral,medium_value,control,0
156,31,partner,medium_value,control,0
157,70,partner,medium_value,control,0
158,58,referral,low_value,treatment,1
159,85,organic,medium_value,control,0
160,27,organic,high_value,treatment,0
161,65,partner,low_value,treatment,0
162,41,organic,low_value,control,0
163,44,referral,medium_value,control,0
164,61,referral,medium_value,treatment,0
165,56,paid_ads,medium_value,control,1
166,5,partner,low_value,control,0
167,27,organic,low_value,control,0
168,27,organic,medium_value,treatment,0
169,43,organic,medium_value,treatment,1
170,83,paid_ads,low_value,control,0
171,29,organic,medium_value,control,0
172,61,organic,medium_value,control,1
173,74,referral,low_value,treatment,0
174,88,partner,medium_value,control,0
175,61,organic,medium_value,control,0
176,0,paid_ads,low_value,treatment,0
177,26,partner,low_value,treatment,0
178,61,organic,medium_value,treatment,0
179,76,organic,medium_value,treatment,0
180,2,organic,medium_value,control,0
181,69,paid_ads,medium_value,control,0
182,71,organic,high_value,control,0
183,26,partner,low_value,control,0
184,8,paid_ads,medium_value,treatment,0
185,61,paid_ads,medium_value,treatment,0
186,36,organic,medium_value,treatment,0
187,50,paid_ads,low_value,control,0
188,43,referral,medium_value,treatment,1
189,23,referral,high_value,treatment,0
190,78,referral,high_value,control,0
191,58,paid_ads,medium_value,treatment,0
192,31,partner,medium_value,control,0
193,87,referral,medium_value,control,0
194,51,referral,medium_value,treatment,0
195,61,organic,high_value,treatment,0
196,57,organic,medium_value,control,0
197,51,organic,medium_value,control,0
198,11,referral,high_value,treatment,0
199,38,paid_ads,high_value,treatment,0
200,1,paid_ads,high_value,treatment,0
201,2,partner,high_value,control,1
202,55,partner,medium_value,control,0
203,80,partner,high_value,control,0
204,58,organic,medium_value,control,0
205,1,referral,high_value,control,0
206,1,organic,low_value,control,0
207,53,organic,low_value,treatment,0
208,86,organic,medium_value,control,0
209,0,organic,medium_value,treatment,0
210,18,paid_ads,medium_value,control,0
211,1,referral,medium_value,control,0
212,52,organic,high_value,control,0
213,43,referral,medium_value,control,0
214,89,paid_ads,medium_value,control,0
215,31,organic,low_value,treatment,0
216,69,paid_ads,high_value,treatment,0
217,31,organic,low_value,control,0
218,67,paid_ads,low_value,control,0
219,54,paid_ads,high_value,treatment,0
220,74,organic,medium_value,treatment,1
221,55,organic,high_value,control,0
222,16,paid_ads,medium_value,treatment,0
223,37,partner,medium_value,treatment,0
224,23,organic,medium_value,treatment,0
225,68,referral,medium_value,treatment,0
226,69,referral,low_value,treatment,0
227,85,partner,high_value,treatment,0
228,10,referral,low_value,control,0
229,15,paid_ads,medium_value,treatment,0
230,72,referral,low_value,treatment,0
231,58,partner,medium_value,treatment,1
232,69,paid_ads,high_value,treatment,0
233,79,organic,low_value,control,0
234,2,organic,medium_value,control,0
235,19,referral,medium_value,control,0
236,58,referral,medium_value,control,0
237,35,organic,medium_value,control,0
238,18,paid_ads,medium_value,treatment,0
239,89,paid_ads,low_value,control,0
240,66,organic,high_value,treatment,0
241,18,partner,medium_value,treatment,0
242,19,organic,low_value,control,0
243,70,organic,high_value,control,0
244,51,paid_ads,high_value,treatment,0
245,32,referral,low_value,treatment,0
246,39,organic,medium_value,treatment,1
247,38,referral,medium_value,treatment,0
248,81,paid_ads,high_value,treatment,0
249,0,organic,medium_value,treatment,0
250,10,organic,high_value,treatment,0
251,56,paid_ads,medium_value,treatment,0
252,88,organic,low_value,treatment,0
253,49,partner,medium_value,control,0
254,22,referral,medium_value,treatment,0
255,30,partner,low_value,control,0
256,41,organic,medium_value,treatment,0
257,6,partner,low_value,control,0
258,15,paid_ads,medium_value,control,0
259,89,organic,low_value,control,0
260,59,organic,high_value,control,0
261,1,organic,high_value,control,0
262,0,referral,medium_value,treatment,0
263,47,paid_ads,medium_value,control,0
264,11,organic,low_value,control,0
265,68,paid_ads,medium_value,control,0
266,36,organic,medium_value,treatment,0
267,31,paid_ads,low_value,control,0
268,8,paid_ads,medium_value,control,0
269,18,referral,medium_value,control,0
270,47,referral,medium_value,treatment,0
271,79,paid_ads,medium_value,control,0
272,2,paid_ads,high_value,control,0
273,19,paid_ads,low_value,control,0
274,23,referral,high_value,treatment,1
275,53,organic,high_value,control,0
276,32,organic,low_value,treatment,0
277,23,organic,medium_value,control,0
278,74,paid_ads,medium_value,control,0
279,71,paid_ads,medium_value,control,0
280,35,referral,medium_value,control,0
281,37,organic,medium_value,control,0
282,83,paid_ads,medium_value,control,0
283,88,referral,medium_value,control,0
284,24,referral,low_value,treatment,0
285,17,paid_ads,medium_value,treatment,0
286,81,paid_ads,low_value,control,0
287,65,organic,high_value,treatment,0
288,53,partner,medium_value,treatment,0
289,34,organic,medium_value,treatment,0
290,79,partner,low_value,control,0
291,60,referral,high_value,treatment,0
292,40,paid_ads,medium_value,control,0
293,32,organic,low_value,treatment,0
294,67,paid_ads,medium_value,control,0
295,32,paid_ads,low_value,control,0
296,13,organic,high_value,control,0
297,20,referral,low_value,control,0
298,47,partner,low_value,treatment,0
299,19,paid_ads,medium_value,control,0
300,7,referral,medium_value,treatment,0
301,6,organic,high_value,control,0
302,66,paid_ads,low_value,control,0
303,16,organic,medium_value,treatment,0
304,32,paid_ads,high_value,treatment,0
305,47,partner,medium_value,control,0
306,75,referral,medium_value,control,0
307,58,organic,high_value,treatment,0
308,85,paid_ads,medium_value,control,0
309,21,paid_ads,high_value,treatment,0
310,29,paid_ads,medium_value,treatment,0
311,37,referral,medium_value,control,0
312,50,referral,medium_value,control,0
313,53,paid_ads,low_value,control,0
314,7,paid_ads,low_value,control,0
315,26,organic,medium_value,treatment,0
316,26,organic,high_value,treatment,1
317,20,paid_ads,medium_value,treatment,0
318,29,paid_ads,medium_value,treatment,0
319,27,referral,medium_value,control,0
320,63,referral,medium_value,treatment,0
321,68,organic,medium_value,control,0
322,60,paid_ads,low_value,treatment,0
323,47,organic,high_value,control,0
324,18,organic,medium_value,treatment,0
325,3,referral,high_value,treatment,0
326,34,organic,low_value,control,1
327,63,paid_ads,high_value,control,0
328,48,organic,high_value,treatment,0
329,16,partner,medium_value,control,0
330,43,paid_ads,medium_value,treatment,0
331,29,organic,medium_value,treatment,0
332,45,paid_ads,medium_value,control,0
333,5,referral,medium_value,control,0
334,36,partner,high_value,treatment,0
335,23,organic,medium_value,control,0
336,45,partner,low_value,control,1
337,52,partner,medium_value,treatment,0
338,59,partner,low_value,treatment,0
339,62,paid_ads,medium_value,control,0
340,84,paid_ads,medium_value,control,0
341,31,paid_ads,high_value,treatment,1
342,86,referral,medium_value,treatment,0
343,32,paid_ads,low_value,treatment,0
344,66,referral,low_value,control,0
345,17,paid_ads,medium_value,treatment,0
346,24,referral,high_value,treatment,0
347,53,referral,high_value,treatment,0
348,57,organic,medium_value,treatment,1
349,66,referral,medium_value,control,0
350,45,paid_ads,high_value,treatment,0
351,23,referral,low_value,control,0
352,31,paid_ads,medium_value,control,0
353,46,paid_ads,low_value,treatment,0
354,85,partner,low_value,treatment,0
355,22,organic,low_value,treatment,0
356,65,referral,medium_value,treatment,0
357,26,paid_ads,medium_value,control,1
358,1,paid_ads,medium_value,treatment,0
359,89,organic,medium_value,control,0
360,16,paid_ads,medium_value,treatment,0
361,32,organic,low_value,control,0
362,8,organic,low_value,treatment,0
363,42,organic,low_value,control,0
364,47,organic,low_value,treatment,0
365,38,partner,medium_value,treatment,0
366,41,partner,high_value,control,0
367,25,paid_ads,medium_value,treatment,0
368,49,referral,medium_value,treatment,0
369,24,organic,low_value,treatment,0
370,23,referral,medium_value,treatment,0
371,12,referral,medium_value,control,0
372,59,partner,medium_value,control,0
373,6,paid_ads,high_value,control,0
374,56,referral,medium_value,control,0
375,35,organic,low_value,control,0
376,44,partner,high_value,treatment,0
377,19,organic,medium_value,control,0
378,64,paid_ads,medium_value,control,0
379,7,referral,high_value,control,1
380,15,referral,high_value,treatment,0
381,13,organic,low_value,treatment,1
382,75,partner,medium_value,control,1
383,86,organic,medium_value,treatment,0
384,14,paid_ads,high_value,control,0
385,65,organic,medium_value,treatment,0
386,31,organic,medium_value,treatment,1
387,86,paid_ads,medium_value,control,0
388,62,paid_ads,high_value,treatment,0
389,85,organic,low_value,treatment,0
390,50,organic,medium_value,control,0
391,24,paid_ads,medium_value,treatment,0
392,57,referral,medium_value,control,0
393,62,partner,medium_value,control,0
394,61,organic,low_value,control,0
395,21,paid_ads,low_value,control,0
396,57,organic,medium_value,control,0
397,57,organic,low_value,treatment,0
398,85,referral,low_value,control,0
399,48,paid_ads,low_value,control,1
400,51,organic,medium_value,treatment,0
401,41,organic,medium_value,treatment,0
402,69,organic,medium_value,treatment,0
403,14,referral,low_value,treatment,0
404,53,partner,high_value,treatment,0
405,59,organic,medium_value,treatment,0
406,7,organic,medium_value,treatment,0
407,52,partner,medium_value,treatment,0
408,59,partner,medium_value,control,0
409,4,paid_ads,low_value,control,0
410,67,organic,medium_value,treatment,0
411,5,organic,low_value,control,0
412,46,paid_ads,medium_value,control,1
413,54,paid_ads,medium_value,treatment,0
414,39,organic,medium_value,treatment,0
415,51,paid_ads,high_value,control,0
416,15,organic,medium_value,treatment,0
417,12,referral,medium_value,treatment,0
418,29,organic,medium_value,treatment,0
419,18,organic,low_value,treatment,0
420,16,paid_ads,medium_value,treatment,0
421,62,paid_ads,high_value,treatment,0
422,18,partner,high_value,control,0
423,57,paid_ads,medium_value,treatment,0
424,54,organic,medium_value,treatment,0
425,89,referral,high_value,treatment,0
426,89,organic,medium_value,treatment,0
427,61,partner,medium_value,control,0
428,22,paid_ads,medium_value,treatment,0
429,8,paid_ads,low_value,control,0
430,11,organic,medium_value,control,1
431,0,paid_ads,medium_value,control,0
432,57,referral,low_value,control,0
433,0,referral,medium_value,treatment,0
434,33,organic,medium_value,control,0
435,47,organic,medium_value,control,1
436,88,referral,high_value,treatment,0
437,0,partner,medium_value,control,0
438,15,organic,medium_value,control,0
439,60,paid_ads,low_value,control,0
440,63,organic,low_value,control,0
441,62,partner,medium_value,control,0
442,68,organic,medium_value,control,0
443,21,organic,medium_value,treatment,0
444,66,referral,medium_value,control,0
445,75,organic,medium_value,control,0
446,25,paid_ads,medium_value,treatment,0
447,15,paid_ads,medium_value,control,0
448,50,organic,high_value,treatment,0
449,85,paid_ads,low_value,control,0
450,56,paid_ads,high_value,control,0
451,28,organic,low_value,treatment,0
452,77,paid_ads,low_value,control,0
453,68,referral,medium_value,control,0
454,46,referral,low_value,treatment,0
455,61,organic,medium_value,control,0
456,68,organic,medium_value,treatment,1
457,75,organic,medium_value,treatment,0
458,15,paid_ads,medium_value,control,0
459,89,paid_ads,medium_value,treatment,0
460,89,referral,medium_value,treatment,0
461,47,organic,medium_value,treatment,0
462,84,organic,medium_value,treatment,0
463,38,paid_ads,medium_value,treatment,0
464,32,referral,high_value,control,0
465,22,organic,high_value,treatment,1
466,9,paid_ads,medium_value,control,1
467,68,organic,high_value,control,0
468,33,partner,high_value,treatment,0
469,51,partner,low_value,control,0
470,9,organic,high_value,treatment,0
471,18,organic,medium_value,control,0
472,57,paid_ads,medium_value,treatment,0
473,0,organic,low_value,control,0
474,68,referral,medium_value,control,0
475,3,referral,medium_value,control,1
476,15,referral,medium_value,treatment,0
477,23,referral,medium_value,control,0
478,79,paid_ads,medium_value,treatment,0
479,1,organic,high_value,control,0
480,31,referral,low_value,control,0
481,83,paid_ads,medium_value,control,0
482,23,referral,medium_value,control,0
483,11,organic,low_value,treatment,1
484,49,organic,medium_value,treatment,0
485,34,partner,low_value,control,0
486,32,organic,medium_value,treatment,1
487,32,partner,low_value,treatment,0
488,60,partner,high_value,control,0
489,50,referral,low_value,control,0
490,42,referral,low_value,treatment,0
491,11,paid_ads,medium_value,control,1
492,66,partner,high_value,control,0
493,64,organic,medium_value,control,1
494,32,paid_ads,low_value,treatment,0
495,39,paid_ads,medium_value,control,0
496,73,paid_ads,medium_value,control,1
497,42,paid_ads,high_value,control,0
498,43,organic,medium_value,control,0
499,28,paid_ads,medium_value,control,0
500,12,partner,low_value,treatment,0
501,11,organic,medium_value,control,0
502,45,partner,low_value,treatment,0
503,1,referral,medium_value,control,0
504,34,referral,high_value,treatment,0
505,86,paid_ads,medium_value,treatment,0
506,80,referral,medium_value,control,0
507,89,organic,low_value,treatment,0
508,7,referral,low_value,control,0
509,25,organic,medium_value,treatment,0
510,73,partner,medium_value,control,0
511,89,partner,medium_value,treatment,0
512,33,organic,low_value,treatment,0
513,6,organic,low_value,treatment,0
514,67,referral,low_value,treatment,0
515,57,organic,medium_value,control,0
516,74,partner,medium_value,treatment,1
517,28,organic,medium_value,treatment,0
518,35,organic,medium_value,treatment,0
519,88,partner,medium_value,control,0
520,20,referral,high_value,treatment,0
521,35,referral,high_value,control,0
522,9,organic,low_value,treatment,0
523,72,referral,low_value,control,0
524,23,paid_ads,medium_value,control,0
525,63,paid_ads,medium_value,treatment,0
526,48,referral,medium_value,control,0
527,35,paid_ads,low_value,treatment,0
528,81,paid_ads,low_value,treatment,0
529,23,organic,low_value,control,1
530,22,referral,low_value,control,0
531,61,organic,medium_value,treatment,0
532,36,referral,medium_value,control,0
533,11,organic,medium_value,treatment,0
534,54,paid_ads,medium_value,treatment,0
535,12,referral,low_value,control,0
536,22,organic,medium_value,control,0
537,88,organic,high_value,control,0
538,29,organic,medium_value,treatment,0
539,16,paid_ads,low_value,control,0
540,61,referral,medium_value,control,0
541,83,organic,medium_value,treatment,0
542,88,referral,medium_value,treatment,0
543,85,organic,high_value,control,0
544,12,paid_ads,medium_value,control,0
545,58,partner,low_value,treatment,0
546,18,organic,medium_value,treatment,1
547,48,paid_ads,low_value,treatment,0
548,11,organic,medium_value,treatment,1
549,60,organic,high_value,treatment,0
550,18,organic,low_value,treatment,0
551,75,organic,medium_value,treatment,0
552,8,paid_ads,medium_value,treatment,0
553,70,paid_ads,low_value,treatment,0
554,27,paid_ads,medium_value,control,0
555,77,organic,low_value,control,0
556,51,organic,high_value,treatment,0
557,82,referral,medium_value,control,0
558,15,partner,high_value,treatment,0
559,68,organic,low_value,control,0
560,11,partner,medium_value,treatment,0
561,24,paid_ads,low_value,control,0
562,51,paid_ads,low_value,treatment,0
563,84,paid_ads,medium_value,treatment,0
564,52,organic,medium_value,control,0
565,22,organic,medium_value,treatment,0
566,15,paid_ads,medium_value,control,0
567,56,organic,medium_value,control,0
568,38,partner,medium_value,control,0
569,52,paid_ads,low_value,control,0
570,41,organic,low_value,treatment,0
571,57,referral,low_value,control,0
572,38,organic,low_value,treatment,0
573,13,paid_ads,medium_value,control,0
574,4,referral,medium_value,treatment,1
575,34,partner,low_value,control,0
576,86,referral,medium_value,treatment,0
577,74,referral,low_value,treatment,0
578,17,referral,medium_value,treatment,0
579,75,partner,medium_value,control,0
580,8,organic,low_value,treatment,0
581,73,organic,low_value,control,0
582,57,organic,medium_value,control,0
583,16,organic,low_value,control,0
584,6,referral,medium_value,control,0
585,45,paid_ads,medium_value,control,0
586,12,paid_ads,low_value,treatment,0
587,39,organic,medium_value,control,0
588,41,referral,medium_value,control,0
589,8,organic,medium_value,control,0
590,49,referral,medium_value,treatment,0
591,26,paid_ads,medium_value,treatment,0
592,65,organic,medium_value,control,0
593,4,organic,high_value,treatment,1
594,28,organic,low_value,treatment,0
595,36,referral,medium_value,control,0
596,37,partner,low_value,treatment,0
597,82,paid_ads,medium_value,treatment,0
598,7,organic,medium_value,treatment,1
599,64,paid_ads,medium_value,control,0
600,85,referral,medium_value,control,0
601,16,referral,medium_value,control,1
602,70,organic,medium_value,treatment,1
603,88,organic,medium_value,treatment,0
604,44,referral,high_value,control,0
605,3,paid_ads,medium_value,control,0
606,35,organic,high_value,treatment,1
607,69,organic,high_value,treatment,0
608,30,paid_ads,low_value,treatment,0
609,18,partner,medium_value,treatment,0
610,60,partner,medium_value,treatment,0
611,53,paid_ads,medium_value,control,1
612,38,paid_ads,low_value,control,0
613,73,organic,medium_value,control,0
614,89,paid_ads,low_value,treatment,0
615,18,paid_ads,medium_value,control,0
616,38,paid_ads,low_value,control,0
617,66,paid_ads,low_value,control,0
618,44,organic,low_value,control,0
619,12,organic,high_value,treatment,0
620,57,organic,medium_value,control,0
621,19,organic,medium_value,control,0
622,71,organic,medium_value,treatment,0
623,60,partner,low_value,control,0
624,38,paid_ads,high_value,treatment,1
625,0,paid_ads,high_value,treatment,0
626,2,partner,medium_value,treatment,0
627,76,partner,high_value,treatment,0
628,61,paid_ads,medium_value,control,0
629,62,referral,low_value,treatment,0
630,24,organic,medium_value,control,0
631,55,organic,high_value,control,0
632,32,paid_ads,medium_value,control,0
633,37,referral,medium_value,control,0
634,5,referral,high_value,treatment,0
635,57,organic,medium_value,control,0
636,43,organic,low_value,treatment,0
637,44,paid_ads,low_value,control,0
638,31,organic,low_value,control,0
639,44,paid_ads,high_value,treatment,0
640,60,referral,low_value,control,0
641,46,referral,low_value,treatment,0
642,20,referral,low_value,control,0
643,79,partner,high_value,control,1
644,84,paid_ads,low_value,control,0
645,74,referral,low_value,treatment,0
646,35,paid_ads,low_value,control,0
647,18,organic,high_value,control,0
648,19,organic,low_value,control,0
649,56,organic,low_value,treatment,0
650,17,paid_ads,medium_value,treatment,1
651,46,paid_ads,medium_value,treatment,0
652,48,referral,low_value,control,0
653,13,organic,medium_value,treatment,1
654,14,organic,medium_value,treatment,1
655,30,partner,medium_value,treatment,0
656,0,organic,low_value,treatment,0
657,53,paid_ads,high_value,treatment,0
658,2,paid_ads,medium_value,control,0
659,15,paid_ads,medium_value,treatment,1
660,86,organic,low_value,treatment,0
661,56,organic,medium_value,control,0
662,74,organic,low_value,control,0
663,11,paid_ads,low_value,treatment,0
664,73,paid_ads,high_value,control,0
665,15,organic,medium_value,treatment,0
666,71,paid_ads,high_value,control,0
667,75,referral,medium_value,control,0
668,23,organic,medium_value,control,0
669,27,paid_ads,low_value,control,0
670,7,referral,low_value,control,1
671,35,organic,high_value,control,0
672,89,organic,high_value,treatment,0
673,7,paid_ads,medium_value,treatment,0
674,57,partner,medium_value,control,0
675,59,referral,medium_value,treatment,1
676,49,paid_ads,low_value,treatment,0
677,27,referral,low_value,treatment,0
678,40,paid_ads,medium_value,treatment,1
679,63,paid_ads,low_value,control,0
680,26,paid_ads,medium_value,control,0
681,62,organic,low_value,control,0
682,16,referral,medium_value,control,0
683,72,paid_ads,high_value,treatment,0
684,32,paid_ads,low_value,control,0
685,83,partner,medium_value,treatment,0
686,76,organic,low_value,treatment,0
687,28,organic,medium_value,treatment,0
688,12,organic,high_value,treatment,0
689,45,referral,high_value,control,1
690,34,referral,medium_value,treatment,0
691,5,organic,medium_value,control,0
692,81,referral,medium_value,treatment,0
693,68,paid_ads,medium_value,treatment,0
694,46,referral,medium_value,treatment,0
695,24,paid_ads,low_value,control,0
696,65,paid_ads,medium_value,treatment,0
697,9,partner,low_value,control,0
698,55,organic,medium_value,control,0
699,29,organic,medium_value,treatment,0
700,4,paid_ads,high_value,control,0
701,32,partner,medium_value,treatment,1
702,64,paid_ads,high_value,control,0
703,17,organic,medium_value,treatment,0
704,48,organic,medium_value,control,0
705,10,paid_ads,medium_value,treatment,0
706,84,organic,low_value,treatment,0
707,25,referral,medium_value,treatment,0
708,62,partner,medium_value,control,0
709,88,paid_ads,high_value,treatment,0
710,85,paid_ads,low_value,control,0
711,58,paid_ads,high_value,control,0
712,26,organic,medium_value,control,0
713,48,partner,medium_value,treatment,0
714,76,paid_ads,medium_value,control,1
715,32,paid_ads,medium_value,treatment,0
716,0,referral,low_value,treatment,1
717,20,paid_ads,high_value,control,0
718,54,paid_ads,medium_value,treatment,0
719,5,organic,medium_value,control,0
720,80,referral,high_value,treatment,0
721,68,partner,medium_value,control,0
722,4,paid_ads,medium_value,treatment,0
723,2,partner,medium_value,control,0
724,52,organic,medium_value,control,0
725,22,paid_ads,medium_value,control,0
726,52,paid_ads,low_value,control,0
727,36,paid_ads,medium_value,control,0
728,73,paid_ads,medium_value,control,0
729,73,organic,medium_value,control,0
730,82,organic,high_value,treatment,0
731,16,paid_ads,high_value,treatment,0
732,84,organic,medium_value,treatment,0
733,77,referral,low_value,treatment,0
734,72,organic,low_value,treatment,0
735,0,organic,high_value,treatment,0
736,50,paid_ads,low_value,control,0
737,44,paid_ads,low_value,treatment,0
738,76,partner,medium_value,control,1
739,3,paid_ads,low_value,treatment,0
740,61,organic,medium_value,treatment,0
741,64,referral,medium_value,control,0
742,31,paid_ads,medium_value,treatment,0
743,33,organic,medium_value,control,0
744,71,paid_ads,medium_value,control,0
745,38,partner,medium_value,control,0
746,25,paid_ads,low_value,treatment,0
747,33,organic,low_value,treatment,0
748,53,organic,low_value,treatment,0
749,2,organic,low_value,control,0
750,49,paid_ads,low_value,treatment,0
751,11,paid_ads,high_value,treatment,0
752,64,organic,medium_value,control,1
753,53,partner,medium_value,treatment,0
754,4,referral,low_value,control,0
755,56,paid_ads,medium_value,control,1
756,16,referral,low_value,control,0
757,46,organic,high_value,treatment,1
758,22,paid_ads,medium_value,control,0
759,78,paid_ads,low_value,control,0
760,84,referral,high_value,control,0
761,13,referral,medium_value,control,0
762,65,organic,medium_value,control,0
763,74,partner,medium_value,control,0
764,50,organic,low_value,treatment,0
765,37,partner,medium_value,control,0
766,63,partner,medium_value,treatment,0
767,37,organic,high_value,treatment,0
768,49,referral,low_value,control,0
769,81,organic,medium_value,control,0
770,29,paid_ads,medium_value,treatment,0
771,78,paid_ads,low_value,control,0
772,50,paid_ads,medium_value,control,0
773,62,partner,low_value,control,0
774,51,referral,medium_value,treatment,0
775,37,paid_ads,medium_value,treatment,0
776,87,referral,high_value,treatment,0
777,78,partner,low_value,treatment,0
778,29,organic,low_value,control,0
779,50,partner,medium_value,control,1
780,80,organic,medium_value,control,0
781,4,referral,low_value,control,0
782,28,organic,medium_value,control,0
783,3,organic,low_value,control,0
784,9,paid_ads,medium_value,control,0
785,55,paid_ads,low_value,control,0
786,16,paid_ads,medium_value,control,0
787,73,organic,medium_value,treatment,0
788,16,paid_ads,medium_value,treatment,0
789,83,partner,low_value,treatment,0
790,87,paid_ads,medium_value,control,0
791,68,organic,medium_value,control,0
792,33,paid_ads,medium_value,control,0
793,5,organic,medium_value,control,0
794,52,referral,low_value,control,0
795,65,referral,low_value,treatment,0
796,76,paid_ads,high_value,treatment,1
797,42,paid_ads,low_value,control,0
798,74,referral,low_value,control,0
799,22,paid_ads,low_value,control,0
